tree,martelo,country,quadrant,species,social_status,DBH_cm,utmX,utmY,quality,Health,microhabitat,Total_height_m,Crownbase_height_m,V_m3ha,Bs_kg,B2_kg,B2_7_kg,B7_kg,Bs_B7.q.p_kg,B_kg,B,spNum,simpson,shannon,Even,D,MS,Mi,W,S,TH,A,G_m2ha,Hzones.st,Atmp,A.st,distij,MVij,Hzones.qd,Vij,THij
2704,Marugan,Spain,1,Quercus faginea,suppressed,10.6,368662,4587366,injury,healthy,other,3.9,0,0.016,17.30344,6.952275,11.64926008,9.674196,0,45.57917108,0.045579171,3,0.955621302,3.177596824,0.97529241,2.6,0.5,0.666666667,0.666666667,0.3709217,0.238238885,2.725485785,0.008824733763934,zone1,5.670455893,2.281959322,4,1,zone1,0,0.071428571
2705,Marugan,Spain,1,Pinus pinea,dominant,35.7,368666,4587369,inclinated,healthy,other,10.2,4.4,0.469,231.2571414,83.198043,66.910725,43.03728,0,424.4031894,0.424403189,2,0.955621302,3.177596824,0.97529241,2.6,0.166666667,0.333333333,1,0.370358767,0.437908497,1.609437912,0.100098210526841,zone2,4.604106009,1.85282856,5,1,zone3,1,0.617647059
2706,Marugan,Spain,1,Pinus pinea,codominant,14.4,368670,4587372,inclinated,healthy,other,5.9,2,0.58,23.09449904,19.908052,10.8864,0,0,53.88895104,0.053888951,2,0.955621302,3.177596824,0.97529241,2.6,0,0,0.666666667,0.2451331,0.350485265,1.320888343,0.01628601631621,zone1,5.670455893,2.281959322,2.828427125,0,zone2,0,0.202702703
2707,Marugan,Spain,1,Quercus faginea,dominate,9.9,368664,4587377,others,healthy,other,8.2,3.5,0.022,15.09354,4.9054005,7.64125164,8.438661,0,36.07885314,0.036078853,3,0.955621302,3.177596824,0.97529241,2.6,0.333333333,0.666666667,0.333333333,0.4958659,0.289792231,1.320888343,0.007697687399458,zone2,4.604106009,1.85282856,3.16227766,1,zone2,1,0.088888889
2708,Marugan,Spain,1,Pinus pinea,dominant,32.9,368667,4587378,inclinated,healthy,other,9,4.4,0.005,173.970303,73.010387,56.826525,26.71552,0,330.522735,0.330522735,2,0.955621302,3.177596824,0.97529241,2.6,0.5,0.666666667,1,0.370358767,0.437037037,1.609437912,0.085012282604303,zone2,4.604106009,1.85282856,3.16227766,1,zone3,1,0.088888889
2709,Marugan,Spain,1,Pinus pinea,dominate,5.6,368670,4587382,inclinated,healthy,other,2.8,1.6,0.007,1.757121431,16.228552,1.6464,0,0,19.63207343,0.019632073,2,0.955621302,3.177596824,0.97529241,2.6,0.166666667,0.333333333,0.333333333,0.2451331,0.333081238,2.725485785,0.002463008640414,zone1,5.670455893,2.281959322,2.828427125,1,zone1,0,0.333333333
2710,Marugan,Spain,1,Juniperus thurifera,dominant,5.2,368672,4587380,others,healthy,other,4.2,0,0.02,6.2383776,5.96232,0.89945856,0,0,13.10015616,0.013100156,1,0.955621302,3.177596824,0.97529241,2.6,0.25,1,0.666666667,0.2451331,0.126799557,2.725485785,0.002123716633827,zone1,5.670455893,2.281959322,1.414213562,1,zone1,1,0.023255814
2711,Marugan,Spain,1,Pinus pinea,dominate,10.45,368673,4587381,inclinated,healthy,other,4.3,2.6,0.041,9.030317948,17.49151675,5.73313125,0,0,32.25496595,0.032254966,2,0.955621302,3.177596824,0.97529241,2.6,0.166666667,0.333333333,0.666666667,0.2451331,0.139534884,2.725485785,0.008576744293841,zone1,5.670455893,2.281959322,1.414213562,1,zone1,1,0.023255814
2712,Marugan,Spain,5,Pinus pinea,dominant,34,368688,4587371,inclinated,healthy,other,10,5,0.325,206.3393109,75.3862,60.69,32.66575,0,375.0812609,0.375081261,2,0.913580247,2.467534649,0.993008993,1.333333333,0.166666667,0.333333333,0.666666667,0.370358767,0.273333333,1.945910149,0.090792027688745,zone2,4.604106009,1.85282856,2.972558662,1,zone3,1,0.65
2713,Marugan,Spain,5,Quercus faginea,suppressed,6.85,368686.581,4587373.612,others,healthy,other,3.5,1.8,0.006,7.226065,2.954944438,4.977069575,4.04002725,0,19.19810626,0.019198106,3,0.913580247,2.467534649,0.993008993,1.333333333,0.25,1,0.666666667,0.6208101,0.42037037,1.373003913,0.003685284532202,zone1,5.670455893,2.281959322,2.972558662,1,zone1,1,0.65
